epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,336.266,1.70003,2.30693,1.72144,0.02546,0.43278,0.01643,0.0063,2.65371,83.4316,2.7351,0.00329861,0.00329861,0.0703125
2,576.179,1.39118,1.27634,1.48508,0.41967,0.14081,0.00581,0.00196,2.87587,107.951,3.61082,0.00659912,0.00659912,0.0402797
3,836.599,1.30711,1.12887,1.41348,0.67529,0.21859,0.09914,0.03671,2.56711,68.0248,2.68943,0.00986662,0.00986662,0.0102138
4,1102.69,1.19787,0.97817,1.33751,0.52406,0.52569,0.50195,0.24531,1.75028,5.82326,1.72712,0.0098515,0.0098515,0.0098515
5,1368.8,1.09711,0.82744,1.24864,0.65005,0.73801,0.75936,0.40268,1.43664,1.18661,1.38275,0.009802,0.009802,0.009802
6,1640.37,1.0427,0.76805,1.20428,0.7273,0.79897,0.85556,0.48827,1.32463,0.96519,1.29036,0.0097525,0.0097525,0.0097525
7,1916.46,1.01172,0.73737,1.18272,0.79331,0.59017,0.79561,0.45135,1.32756,1.57596,1.30298,0.009703,0.009703,0.009703
8,2192.05,0.97677,0.69383,1.1565,0.87013,0.73845,0.85946,0.47259,1.35011,0.9246,1.29079,0.0096535,0.0096535,0.0096535
9,2474.89,0.94553,0.66781,1.13913,0.7522,0.7975,0.80359,0.46614,1.33471,0.96664,1.31133,0.009604,0.009604,0.009604
10,2757.69,0.93187,0.65609,1.12867,0.76175,0.7439,0.82164,0.45106,1.37682,1.01736,1.33,0.0095545,0.0095545,0.0095545
11,3030.11,0.90852,0.6381,1.11531,0.8737,0.87323,0.90297,0.5186,1.25636,0.77159,1.22455,0.009505,0.009505,0.009505
12,3307.6,0.89648,0.61385,1.10822,0.73347,0.55764,0.63872,0.33814,1.47762,1.29008,1.38862,0.0094555,0.0094555,0.0094555
13,3578.88,0.87528,0.59693,1.09227,0.87369,0.79704,0.88784,0.51445,1.2832,0.84779,1.24569,0.009406,0.009406,0.009406
14,3850.8,0.8774,0.58774,1.09553,0.86923,0.71405,0.83283,0.49654,1.3565,0.97968,1.31164,0.0093565,0.0093565,0.0093565
15,4122.14,0.85626,0.5764,1.08021,0.79759,0.59207,0.6913,0.37958,1.47624,1.35063,1.36764,0.009307,0.009307,0.009307
16,336.224,0.83861,0.55624,1.07033,0.90827,0.84787,0.90264,0.52694,1.2826,0.7602,1.2396,0.0092575,0.0092575,0.0092575
17,577.293,0.83793,0.55794,1.06904,0.88166,0.77679,0.86223,0.50699,1.23075,0.74688,1.24201,0.009208,0.009208,0.009208
18,841.145,0.818,0.54263,1.05496,0.85238,0.78131,0.86859,0.50659,1.30415,0.78242,1.29372,0.0091585,0.0091585,0.0091585
19,1109.98,0.80648,0.53946,1.05112,0.82678,0.80388,0.85436,0.50166,1.27533,0.91173,1.22951,0.009109,0.009109,0.009109
20,1379.76,0.79645,0.52226,1.04069,0.88106,0.78378,0.85675,0.47779,1.31684,0.79337,1.31246,0.0090595,0.0090595,0.0090595
21,1663.39,0.78915,0.51379,1.03711,0.9367,0.85335,0.88637,0.52734,1.24487,0.75361,1.23751,0.00901,0.00901,0.00901
22,1945.02,0.77554,0.50364,1.02998,0.87149,0.8146,0.89466,0.52596,1.28156,0.73888,1.25291,0.0089605,0.0089605,0.0089605
23,2221.71,0.77112,0.50043,1.02595,0.80241,0.79358,0.84318,0.51933,1.23755,0.75107,1.22624,0.008911,0.008911,0.008911
24,2491.96,0.76335,0.49451,1.01978,0.87861,0.84108,0.90293,0.55384,1.22762,0.72161,1.24989,0.0088615,0.0088615,0.0088615
25,2759.96,0.75773,0.4896,1.01769,0.84538,0.83263,0.86999,0.54745,1.21999,0.70692,1.21825,0.008812,0.008812,0.008812
26,3032.98,0.73981,0.47684,1.00952,0.80911,0.77796,0.84127,0.50789,1.25135,0.91333,1.25826,0.0087625,0.0087625,0.0087625
27,3306.84,0.74062,0.47623,1.0061,0.84023,0.74757,0.83137,0.52934,1.21048,0.76721,1.20741,0.008713,0.008713,0.008713
28,3575.57,0.72326,0.46492,0.99879,0.90906,0.76976,0.883,0.5307,1.22903,0.7961,1.21124,0.0086635,0.0086635,0.0086635
29,3843.22,0.71976,0.46257,0.99465,0.89849,0.83152,0.88437,0.53013,1.23999,0.80358,1.24255,0.008614,0.008614,0.008614
30,4110.85,0.70678,0.45445,0.98931,0.82625,0.76257,0.83452,0.50919,1.27249,0.93298,1.25338,0.0085645,0.0085645,0.0085645
31,4379.06,0.69157,0.44332,0.97945,0.93654,0.83394,0.91579,0.56634,1.1948,0.63398,1.24174,0.008515,0.008515,0.008515
32,4646.15,0.69151,0.44025,0.98097,0.80538,0.73941,0.8233,0.5174,1.23272,0.79944,1.28201,0.0084655,0.0084655,0.0084655
33,4919.32,0.68656,0.4386,0.97864,0.95625,0.81727,0.90482,0.51748,1.25197,0.78256,1.27999,0.008416,0.008416,0.008416
34,5186.45,0.67703,0.43346,0.97275,0.88356,0.82991,0.86568,0.54016,1.20119,0.72741,1.24727,0.0083665,0.0083665,0.0083665
35,5480.82,0.67204,0.42871,0.96778,0.93366,0.84647,0.92333,0.56113,1.23002,0.74545,1.23738,0.008317,0.008317,0.008317
36,5762.64,0.66366,0.42304,0.9659,0.88961,0.75093,0.83937,0.50778,1.26542,0.84712,1.27818,0.0082675,0.0082675,0.0082675
37,6041.49,0.65505,0.41433,0.96047,0.81312,0.86945,0.89058,0.56083,1.16883,0.67521,1.20944,0.008218,0.008218,0.008218
38,6320.59,0.65021,0.41391,0.95911,0.82765,0.72264,0.81588,0.4951,1.23403,0.85576,1.31632,0.0081685,0.0081685,0.0081685
39,6593.84,0.64034,0.40883,0.95166,0.92619,0.79549,0.85618,0.51978,1.20006,0.75589,1.25994,0.008119,0.008119,0.008119
40,6864.97,0.64069,0.40474,0.95258,0.86675,0.77554,0.87278,0.54749,1.21052,0.77513,1.26159,0.0080695,0.0080695,0.0080695
41,7134.53,0.63278,0.40473,0.94705,0.82249,0.78317,0.85112,0.51216,1.27369,0.77266,1.27901,0.00802,0.00802,0.00802
42,7403.31,0.62578,0.39932,0.94535,0.95316,0.83982,0.90757,0.54622,1.19631,0.70521,1.25113,0.0079705,0.0079705,0.0079705
43,7672.48,0.6251,0.39785,0.94153,0.91273,0.83844,0.90967,0.5533,1.20109,0.65759,1.24367,0.007921,0.007921,0.007921
44,7942.42,0.62173,0.39547,0.9417,0.8968,0.87141,0.92002,0.55781,1.21261,0.73826,1.22655,0.0078715,0.0078715,0.0078715
45,8223.33,0.6123,0.39094,0.93503,0.87835,0.84663,0.91291,0.57214,1.17399,0.66773,1.22914,0.007822,0.007822,0.007822
46,323.297,0.59047,0.37515,0.92606,0.92114,0.76118,0.9018,0.55424,1.20885,0.73621,1.24409,0.0077725,0.0077725,0.0077725
47,555.663,0.59672,0.38386,0.92827,0.93289,0.78777,0.87591,0.56343,1.16444,0.70062,1.23393,0.007723,0.007723,0.007723
48,810.16,0.59287,0.38193,0.92588,0.92035,0.87281,0.92039,0.58419,1.16429,0.69767,1.22782,0.0076735,0.0076735,0.0076735
49,1064.56,0.58717,0.3796,0.92511,0.88756,0.79408,0.87596,0.54258,1.18338,0.73221,1.26987,0.007624,0.007624,0.007624
50,1327.78,0.5824,0.37499,0.92114,0.96032,0.83039,0.90901,0.56346,1.15919,0.64913,1.20158,0.0075745,0.0075745,0.0075745
51,1593.25,0.57707,0.37329,0.92018,0.85209,0.76799,0.82561,0.51492,1.17815,0.68747,1.26945,0.007525,0.007525,0.007525
52,1858.16,0.56973,0.36638,0.91384,0.89361,0.84113,0.894,0.56049,1.19095,0.67929,1.24744,0.0074755,0.0074755,0.0074755
53,2121.82,0.56872,0.36635,0.91241,0.92553,0.78833,0.88805,0.55334,1.17309,0.6937,1.21667,0.007426,0.007426,0.007426
54,2384.88,0.56281,0.36541,0.91145,0.9332,0.84104,0.90491,0.57022,1.21381,0.6707,1.2304,0.0073765,0.0073765,0.0073765
55,2646.67,0.55875,0.36048,0.90949,0.85593,0.80529,0.85734,0.53275,1.17076,0.74825,1.21646,0.007327,0.007327,0.007327
56,2910.27,0.55591,0.35634,0.90844,0.91662,0.86758,0.9233,0.58047,1.18335,0.66425,1.2514,0.0072775,0.0072775,0.0072775
57,3175.66,0.553,0.35847,0.90748,0.82361,0.84458,0.85043,0.53507,1.15959,0.67017,1.24896,0.007228,0.007228,0.007228
58,3437.53,0.54889,0.35671,0.90413,0.95193,0.77416,0.82498,0.53167,1.16362,0.74726,1.23218,0.0071785,0.0071785,0.0071785
59,3701.21,0.54249,0.35172,0.90128,0.92496,0.81112,0.87201,0.53734,1.20544,0.72287,1.2684,0.007129,0.007129,0.007129
60,3964.47,0.53377,0.34692,0.89747,0.88062,0.88779,0.90968,0.58534,1.17029,0.65671,1.22519,0.0070795,0.0070795,0.0070795
61,4227.16,0.52763,0.34358,0.89301,0.93761,0.81269,0.89956,0.57129,1.15433,0.70324,1.24942,0.00703,0.00703,0.00703
62,4480.94,0.52106,0.34203,0.89114,0.96525,0.82132,0.90012,0.57069,1.16058,0.6681,1.24775,0.0069805,0.0069805,0.0069805
63,4736.44,0.52684,0.34497,0.89526,0.93117,0.89157,0.93622,0.6113,1.11128,0.64158,1.23203,0.006931,0.006931,0.006931
64,4989.35,0.517,0.33782,0.88948,0.924,0.85035,0.90648,0.57994,1.13812,0.67535,1.24055,0.0068815,0.0068815,0.0068815
65,5245.95,0.51703,0.3399,0.88957,0.92684,0.84572,0.91641,0.58224,1.15079,0.6349,1.23658,0.006832,0.006832,0.006832
66,5499.02,0.52022,0.3411,0.89192,0.95595,0.83748,0.8867,0.56421,1.16779,0.6809,1.24253,0.0067825,0.0067825,0.0067825
67,5754.92,0.50884,0.33407,0.88541,0.96048,0.83549,0.91161,0.58292,1.13708,0.6225,1.23355,0.006733,0.006733,0.006733
68,6007.78,0.50634,0.33355,0.88454,0.97965,0.81887,0.91865,0.57445,1.13807,0.64936,1.22486,0.0066835,0.0066835,0.0066835
69,6261.45,0.49919,0.33002,0.88112,0.87054,0.76574,0.86048,0.554,1.14535,0.742,1.25245,0.006634,0.006634,0.006634
70,6514.22,0.49376,0.32661,0.879,0.91863,0.76031,0.86063,0.55493,1.1643,0.69173,1.24903,0.0065845,0.0065845,0.0065845
71,6767.94,0.49847,0.32795,0.87754,0.89721,0.78248,0.83225,0.52394,1.16435,0.69994,1.23908,0.006535,0.006535,0.006535
72,7024.65,0.49133,0.32842,0.87742,0.9347,0.8442,0.90094,0.56998,1.1693,0.65326,1.23826,0.0064855,0.0064855,0.0064855
73,7277.43,0.48743,0.3232,0.87347,0.93687,0.76208,0.90082,0.56156,1.14955,0.66951,1.24078,0.006436,0.006436,0.006436
74,7529.49,0.48773,0.32376,0.87503,0.94005,0.80649,0.89353,0.57443,1.14976,0.62738,1.24827,0.0063865,0.0063865,0.0063865
75,7781.15,0.4808,0.31895,0.87207,0.94511,0.80294,0.90581,0.56852,1.15259,0.66231,1.23192,0.006337,0.006337,0.006337
76,8034.79,0.47893,0.31887,0.8711,0.89028,0.85014,0.8821,0.56339,1.17054,0.68293,1.27971,0.0062875,0.0062875,0.0062875
77,8288.24,0.47801,0.3168,0.87005,0.91853,0.87838,0.91327,0.58886,1.13375,0.6249,1.23669,0.006238,0.006238,0.006238
