epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,2261.7,1.03502,1.7736,0.81471,0.24314,0.29662,0.03832,0.01332,0.75389,1.16372,0.4113,3.32898e-05,3.32898e-05,0.0667435
2,5306.43,0.38172,1.6671,0.22261,0.21766,0.61192,0.08436,0.049,0.28948,1.71664,0.12596,6.62934e-05,6.62934e-05,0.0334431
3,7624.63,0.25618,1.73126,0.13691,0.25425,0.36192,0.12588,0.07418,0.28957,1.53875,0.11448,9.89669e-05,9.89669e-05,0.000142483
4,9898.14,0.2763,1.07761,0.15641,0.66073,0.87155,0.74256,0.49625,0.36505,0.51955,0.15913,9.8515e-05,9.8515e-05,9.8515e-05
5,11788.7,0.30252,0.50498,0.17641,0.77126,0.90218,0.83911,0.57311,0.33617,0.44124,0.14343,9.802e-05,9.802e-05,9.802e-05
6,14203.7,0.28146,0.42415,0.16101,0.87741,0.91939,0.91351,0.63088,0.34714,0.39397,0.16032,9.7525e-05,9.7525e-05,9.7525e-05
7,16036.7,0.26688,0.38837,0.15403,0.83349,0.94101,0.89178,0.61815,0.34309,0.39138,0.14583,9.703e-05,9.703e-05,9.703e-05
8,18476.1,0.24973,0.35861,0.13958,0.9088,0.93332,0.91719,0.60699,0.34139,0.42521,0.14809,9.6535e-05,9.6535e-05,9.6535e-05
9,20323.3,0.23685,0.34484,0.1323,0.94862,0.91625,0.93503,0.62795,0.34295,0.39426,0.14874,9.604e-05,9.604e-05,9.604e-05
10,22749.6,0.22455,0.32758,0.12437,0.95479,0.94063,0.92986,0.62873,0.3413,0.39914,0.15754,9.5545e-05,9.5545e-05,9.5545e-05
11,24678.3,0.21366,0.312,0.11772,0.95186,0.95631,0.94807,0.63283,0.33579,0.389,0.14496,9.505e-05,9.505e-05,9.505e-05
12,27116.2,0.20738,0.30113,0.1141,0.97266,0.93333,0.93729,0.62574,0.35259,0.39405,0.17016,9.4555e-05,9.4555e-05,9.4555e-05
13,28954,0.19538,0.28646,0.10546,0.94276,0.96127,0.95819,0.6546,0.34194,0.37848,0.14069,9.406e-05,9.406e-05,9.406e-05
14,31540.9,0.19011,0.28347,0.1032,0.96936,0.9436,0.96224,0.66095,0.33352,0.38877,0.14382,9.3565e-05,9.3565e-05,9.3565e-05
15,33399.8,0.17871,0.27254,0.09457,0.93151,0.96778,0.95167,0.63382,0.35124,0.38007,0.15916,9.307e-05,9.307e-05,9.307e-05
16,35790.4,0.17473,0.26411,0.09231,0.96188,0.91562,0.9362,0.64403,0.33952,0.40069,0.15706,9.2575e-05,9.2575e-05,9.2575e-05
17,37696,0.16729,0.25994,0.0881,0.93813,0.94556,0.93915,0.65146,0.33111,0.39024,0.14499,9.208e-05,9.208e-05,9.208e-05
18,40112.4,0.1654,0.25751,0.08766,0.92891,0.95947,0.95681,0.65024,0.34041,0.38289,0.15357,9.1585e-05,9.1585e-05,9.1585e-05
19,41967.5,0.1611,0.25329,0.08451,0.96017,0.94056,0.94279,0.64951,0.34415,0.38516,0.15929,9.109e-05,9.109e-05,9.109e-05
20,44369.6,0.15516,0.24771,0.08202,0.97671,0.94425,0.93978,0.64856,0.33621,0.41281,0.15549,9.0595e-05,9.0595e-05,9.0595e-05
21,46202.3,0.15006,0.24088,0.07891,0.95855,0.96416,0.96107,0.66676,0.33173,0.39153,0.15468,9.01e-05,9.01e-05,9.01e-05
22,48587.4,0.14104,0.23047,0.07312,0.95494,0.95153,0.96359,0.66664,0.34511,0.41068,0.15501,8.9605e-05,8.9605e-05,8.9605e-05
23,50476.9,0.13724,0.22803,0.07154,0.92928,0.93989,0.94233,0.64272,0.33198,0.42177,0.1532,8.911e-05,8.911e-05,8.911e-05
24,52880.4,0.13681,0.22871,0.07075,0.95768,0.94388,0.94559,0.64578,0.33614,0.40957,0.15243,8.8615e-05,8.8615e-05,8.8615e-05
25,54723.3,0.13391,0.22487,0.0687,0.92899,0.96795,0.95989,0.65818,0.33704,0.39872,0.15308,8.812e-05,8.812e-05,8.812e-05
